product_id,inventory_date,month,year,quarter,day_of_week,store_id,category,region,units_sold,inventory_level,units_ordered,stock_after_sales,order_fulfillment_gap,is_stockout,inventory_health,supplier_name,supplier_lead_time,defect_rate,defect_risk_level,shipping_cost,transport_mode,production_volume,manufacturing_cost,is_defective,stock_health
P0018,2022-01-01,1,2022,1,7,S001,Clothing,South,151,241,47,90,-104,0,Medium,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-01,1,2022,1,7,S001,Clothing,East,257,352,186,95,-71,0,High,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-01,1,2022,1,7,S001,Toys,East,99,274,166,175,67,0,Medium,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-01,1,2022,1,7,S002,Groceries,South,104,343,144,239,40,0,High,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-01,1,2022,1,7,S002,Clothing,West,141,373,151,232,10,0,High,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-01,1,2022,1,7,S002,Furniture,East,182,445,119,263,-63,0,High,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-01,1,2022,1,7,S002,Toys,West,63,191,115,128,52,0,Medium,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-01,1,2022,1,7,S002,Toys,West,156,281,25,125,-131,0,Medium,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-01,1,2022,1,7,S002,Furniture,North,250,492,168,242,-82,0,High,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-01,1,2022,1,7,S002,Groceries,West,393,460,70,67,-323,0,High,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-01,1,2022,1,7,S002,Electronics,West,29,304,99,275,70,0,High,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-01,1,2022,1,7,S002,Clothing,South,9,113,84,104,75,0,Low,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-01,1,2022,1,7,S002,Electronics,North,126,157,181,31,55,0,Medium,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-01,1,2022,1,7,S002,Groceries,West,13,67,33,54,20,0,Low,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-01,1,2022,1,7,S002,Groceries,East,25,281,136,256,111,0,Medium,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-01,1,2022,1,7,S002,Clothing,East,283,389,177,106,-106,0,High,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-01,1,2022,1,7,S002,Electronics,East,359,465,77,106,-282,0,High,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-01,1,2022,1,7,S002,Toys,South,129,197,94,68,-35,0,Medium,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-01,1,2022,1,7,S002,Toys,South,63,242,85,179,22,0,Medium,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-01,1,2022,1,7,S002,Groceries,West,373,398,92,25,-281,0,High,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-01,1,2022,1,7,S002,Groceries,North,160,234,140,74,-20,0,Medium,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-01,1,2022,1,7,S002,Toys,East,15,67,186,52,171,0,Low,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-01,1,2022,1,7,S002,Toys,West,101,221,38,120,-63,0,Medium,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-01,1,2022,1,7,S003,Toys,South,147,241,180,94,33,0,Medium,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-01,1,2022,1,7,S003,Electronics,West,4,115,169,111,165,0,Low,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-01,1,2022,1,7,S003,Groceries,South,77,375,145,298,68,0,High,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-01,1,2022,1,7,S003,Toys,South,31,153,145,122,114,0,Medium,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-01,1,2022,1,7,S003,Clothing,West,325,438,20,113,-305,0,High,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-01,1,2022,1,7,S003,Groceries,North,163,456,22,293,-141,0,High,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-01,1,2022,1,7,S003,Electronics,North,34,189,107,155,73,0,Medium,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-01,1,2022,1,7,S003,Toys,North,47,223,107,176,60,0,Medium,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-01,1,2022,1,7,S003,Groceries,South,15,381,184,366,169,0,High,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-01,1,2022,1,7,S003,Groceries,South,126,166,124,40,-2,0,Medium,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-01,1,2022,1,7,S003,Toys,East,232,292,155,60,-77,0,Medium,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-01,1,2022,1,7,S003,Electronics,North,175,311,55,136,-120,0,High,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-01,1,2022,1,7,S003,Furniture,North,17,51,172,34,155,0,Low,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-01,1,2022,1,7,S003,Electronics,South,369,398,26,29,-343,0,High,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-01,1,2022,1,7,S003,Clothing,West,260,445,24,185,-236,0,High,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-01,1,2022,1,7,S003,Groceries,South,347,487,93,140,-254,0,High,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-01,1,2022,1,7,S003,Clothing,East,150,429,168,279,18,0,High,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-01,1,2022,1,7,S003,Toys,West,70,204,170,134,100,0,Medium,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-01,1,2022,1,7,S003,Clothing,East,249,330,37,81,-212,0,High,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-01,1,2022,1,7,S003,Electronics,North,370,431,99,61,-271,0,High,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-01,1,2022,1,7,S004,Toys,South,271,477,66,206,-205,0,High,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-01,1,2022,1,7,S004,Clothing,North,180,462,183,282,3,0,High,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-01,1,2022,1,7,S004,Clothing,West,344,446,27,102,-317,0,High,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-01,1,2022,1,7,S004,Groceries,West,0,437,160,437,160,0,High,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-01,1,2022,1,7,S004,Groceries,North,200,397,172,197,-28,0,High,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-01,1,2022,1,7,S004,Electronics,East,382,470,195,88,-187,0,High,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-01,1,2022,1,7,S004,Electronics,West,190,264,139,74,-51,0,Medium,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-01,1,2022,1,7,S004,Furniture,South,51,250,137,199,86,0,Medium,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-01,1,2022,1,7,S004,Furniture,North,40,63,73,23,33,0,Low,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-01,1,2022,1,7,S004,Groceries,East,104,447,96,343,-8,0,High,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-01,1,2022,1,7,S004,Electronics,West,46,205,27,159,-19,0,Medium,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-01,1,2022,1,7,S004,Electronics,North,9,349,165,340,156,0,High,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-01,1,2022,1,7,S004,Furniture,East,56,191,65,135,9,0,Medium,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-01,1,2022,1,7,S004,Electronics,West,63,406,139,343,76,0,High,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-01,1,2022,1,7,S004,Clothing,South,181,228,127,47,-54,0,Medium,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-01,1,2022,1,7,S004,Groceries,South,94,263,24,169,-70,0,Medium,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-01,1,2022,1,7,S004,Electronics,South,46,203,75,157,29,0,Medium,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-01,1,2022,1,7,S004,Groceries,West,8,143,27,135,19,0,Low,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-01,1,2022,1,7,S004,Groceries,West,172,359,125,187,-47,0,High,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-01,1,2022,1,7,S004,Clothing,West,68,211,37,143,-31,0,Medium,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-01,1,2022,1,7,S005,Toys,West,77,111,60,34,-17,0,Low,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-01,1,2022,1,7,S005,Clothing,West,298,415,107,117,-191,0,High,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-01,1,2022,1,7,S005,Electronics,North,64,384,26,320,-38,0,High,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-01,1,2022,1,7,S005,Furniture,West,300,436,174,136,-126,0,High,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-01,1,2022,1,7,S005,Clothing,West,21,180,47,159,26,0,Medium,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-01,1,2022,1,7,S005,Groceries,North,176,185,163,9,-13,0,Medium,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-01,1,2022,1,7,S005,Clothing,South,131,292,140,161,9,0,Medium,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-01,1,2022,1,7,S005,Toys,West,317,478,197,161,-120,0,High,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-01,1,2022,1,7,S005,Groceries,West,97,182,27,85,-70,0,Medium,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-01,1,2022,1,7,S005,Clothing,East,8,87,141,79,133,0,Low,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-01,1,2022,1,7,S005,Groceries,West,104,427,128,323,24,0,High,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-01,1,2022,1,7,S005,Electronics,West,87,245,188,158,101,0,Medium,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-01,1,2022,1,7,S005,Furniture,South,238,317,95,79,-143,0,High,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-01,1,2022,1,7,S005,Electronics,South,171,325,43,154,-128,0,High,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-01,1,2022,1,7,S005,Furniture,West,250,411,119,161,-131,0,High,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-01,1,2022,1,7,S005,Clothing,South,11,71,32,60,21,0,Low,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-01,1,2022,1,7,S005,Electronics,East,371,388,98,17,-273,0,High,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-01,1,2022,1,7,S005,Furniture,West,107,161,66,54,-41,0,Medium,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-01,1,2022,1,7,S005,Groceries,South,106,235,124,129,18,0,Medium,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-01,1,2022,1,7,S005,Electronics,South,101,108,52,7,-49,0,Low,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-02,1,2022,1,1,S001,Groceries,West,81,116,104,35,23,0,Low,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-02,1,2022,1,1,S001,Clothing,West,163,416,79,253,-84,0,High,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-02,1,2022,1,1,S001,Clothing,South,464,488,163,24,-301,0,High,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-02,1,2022,1,1,S001,Groceries,East,116,248,107,132,-9,0,Medium,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-02,1,2022,1,1,S001,Electronics,East,200,238,40,38,-160,0,Medium,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-02,1,2022,1,1,S001,Furniture,East,58,471,32,413,-26,0,High,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-02,1,2022,1,1,S001,Electronics,North,56,178,149,122,93,0,Medium,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-02,1,2022,1,1,S001,Clothing,East,74,92,121,18,47,0,Low,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-02,1,2022,1,1,S001,Toys,South,54,99,182,45,128,0,Low,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-02,1,2022,1,1,S001,Clothing,North,39,171,163,132,124,0,Medium,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-02,1,2022,1,1,S001,Furniture,East,12,215,173,203,161,0,Medium,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-02,1,2022,1,1,S001,Furniture,East,56,281,187,225,131,0,Medium,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-02,1,2022,1,1,S001,Toys,North,31,455,124,424,93,0,High,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-02,1,2022,1,1,S001,Electronics,West,25,84,20,59,-5,0,Low,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-02,1,2022,1,1,S001,Electronics,East,198,246,67,48,-131,0,Medium,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-02,1,2022,1,1,S001,Electronics,West,77,399,147,322,70,0,High,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-02,1,2022,1,1,S001,Furniture,West,165,242,105,77,-60,0,Medium,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-02,1,2022,1,1,S001,Toys,North,42,478,168,436,126,0,High,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-02,1,2022,1,1,S001,Furniture,South,8,156,67,148,59,0,Medium,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-02,1,2022,1,1,S001,Electronics,North,174,221,168,47,-6,0,Medium,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-02,1,2022,1,1,S002,Electronics,West,343,402,141,59,-202,0,High,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-02,1,2022,1,1,S002,Furniture,West,71,132,60,61,-11,0,Low,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-02,1,2022,1,1,S002,Groceries,West,157,218,31,61,-126,0,Medium,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-02,1,2022,1,1,S002,Groceries,South,88,131,109,43,21,0,Low,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-02,1,2022,1,1,S002,Groceries,North,64,93,128,29,64,0,Low,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-02,1,2022,1,1,S002,Groceries,East,273,344,154,71,-119,0,High,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-02,1,2022,1,1,S002,Groceries,North,247,340,148,93,-99,0,High,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-02,1,2022,1,1,S002,Electronics,North,42,241,187,199,145,0,Medium,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-02,1,2022,1,1,S002,Electronics,North,197,296,157,99,-40,0,Medium,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-02,1,2022,1,1,S002,Groceries,West,374,472,65,98,-309,0,High,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-02,1,2022,1,1,S002,Furniture,East,154,308,22,154,-132,0,High,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-02,1,2022,1,1,S002,Toys,North,236,434,30,198,-206,0,High,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-02,1,2022,1,1,S002,Toys,North,278,287,92,9,-186,0,Medium,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-02,1,2022,1,1,S002,Furniture,West,27,190,134,163,107,0,Medium,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-02,1,2022,1,1,S002,Toys,North,106,353,191,247,85,0,High,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-02,1,2022,1,1,S002,Toys,West,154,210,70,56,-84,0,Medium,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-02,1,2022,1,1,S002,Clothing,West,176,193,38,17,-138,0,Medium,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-02,1,2022,1,1,S002,Groceries,East,124,124,46,0,-78,0,Low,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-02,1,2022,1,1,S002,Toys,East,479,492,132,13,-347,0,High,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-02,1,2022,1,1,S002,Clothing,South,78,222,42,144,-36,0,Medium,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-02,1,2022,1,1,S003,Toys,West,114,277,40,163,-74,0,Medium,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-02,1,2022,1,1,S003,Groceries,East,2,175,140,173,138,0,Medium,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-02,1,2022,1,1,S003,Toys,East,7,157,187,150,180,0,Medium,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-02,1,2022,1,1,S003,Furniture,West,54,120,154,66,100,0,Low,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-02,1,2022,1,1,S003,Furniture,East,282,375,61,93,-221,0,High,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-02,1,2022,1,1,S003,Groceries,East,93,302,33,209,-60,0,High,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-02,1,2022,1,1,S003,Electronics,West,85,375,40,290,-45,0,High,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-02,1,2022,1,1,S003,Clothing,South,136,248,50,112,-86,0,Medium,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-02,1,2022,1,1,S003,Electronics,West,140,219,196,79,56,0,Medium,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-02,1,2022,1,1,S003,Furniture,West,79,146,155,67,76,0,Low,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-02,1,2022,1,1,S003,Furniture,South,106,218,111,112,5,0,Medium,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-02,1,2022,1,1,S003,Groceries,West,1,260,142,259,141,0,Medium,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-02,1,2022,1,1,S003,Electronics,West,203,414,53,211,-150,0,High,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-02,1,2022,1,1,S003,Toys,North,368,420,71,52,-297,0,High,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-02,1,2022,1,1,S003,Electronics,East,286,435,159,149,-127,0,High,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-02,1,2022,1,1,S003,Clothing,South,69,230,173,161,104,0,Medium,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-02,1,2022,1,1,S003,Toys,South,52,456,78,404,26,0,High,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-02,1,2022,1,1,S003,Toys,East,109,319,83,210,-26,0,High,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-02,1,2022,1,1,S003,Furniture,North,50,59,135,9,85,0,Low,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-02,1,2022,1,1,S003,Electronics,East,0,155,92,155,92,0,Medium,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-02,1,2022,1,1,S004,Electronics,North,22,144,45,122,23,0,Low,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-02,1,2022,1,1,S004,Electronics,East,45,283,156,238,111,0,Medium,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-02,1,2022,1,1,S004,Clothing,East,89,347,122,258,33,0,High,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-02,1,2022,1,1,S004,Groceries,East,209,410,128,201,-81,0,High,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-02,1,2022,1,1,S004,Toys,West,4,99,76,95,72,0,Low,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-02,1,2022,1,1,S004,Toys,East,47,97,138,50,91,0,Low,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-02,1,2022,1,1,S004,Furniture,West,115,339,95,224,-20,0,High,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-02,1,2022,1,1,S004,Toys,South,27,144,119,117,92,0,Low,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-02,1,2022,1,1,S004,Furniture,South,90,110,28,20,-62,0,Low,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-02,1,2022,1,1,S004,Groceries,South,206,348,67,142,-139,0,High,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-02,1,2022,1,1,S004,Toys,East,328,458,144,130,-184,0,High,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-02,1,2022,1,1,S004,Groceries,South,155,403,24,248,-131,0,High,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-02,1,2022,1,1,S004,Clothing,West,184,198,161,14,-23,0,Medium,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-02,1,2022,1,1,S004,Electronics,East,16,472,166,456,150,0,High,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-02,1,2022,1,1,S004,Toys,North,90,178,79,88,-11,0,Medium,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-02,1,2022,1,1,S004,Clothing,West,178,215,111,37,-67,0,Medium,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-02,1,2022,1,1,S004,Electronics,South,256,477,150,221,-106,0,High,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-02,1,2022,1,1,S004,Furniture,South,27,198,62,171,35,0,Medium,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-02,1,2022,1,1,S004,Groceries,North,67,110,83,43,16,0,Low,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-02,1,2022,1,1,S004,Electronics,North,84,254,112,170,28,0,Medium,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-02,1,2022,1,1,S005,Groceries,East,67,223,53,156,-14,0,Medium,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-02,1,2022,1,1,S005,Furniture,West,15,100,114,85,99,0,Low,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-02,1,2022,1,1,S005,Toys,West,333,397,35,64,-298,0,High,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-02,1,2022,1,1,S005,Groceries,North,56,442,38,386,-18,0,High,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-02,1,2022,1,1,S005,Furniture,West,165,411,194,246,29,0,High,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-02,1,2022,1,1,S005,Clothing,North,54,76,175,22,121,0,Low,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-02,1,2022,1,1,S005,Clothing,East,93,257,148,164,55,0,Medium,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-02,1,2022,1,1,S005,Furniture,East,250,353,57,103,-193,0,High,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-02,1,2022,1,1,S005,Electronics,West,90,119,76,29,-14,0,Low,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-02,1,2022,1,1,S005,Furniture,West,83,403,77,320,-6,0,High,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-02,1,2022,1,1,S005,Electronics,East,16,60,149,44,133,0,Low,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-02,1,2022,1,1,S005,Toys,West,87,182,121,95,34,0,Medium,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-02,1,2022,1,1,S005,Furniture,East,241,455,136,214,-105,0,High,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-02,1,2022,1,1,S005,Toys,South,286,437,116,151,-170,0,High,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-02,1,2022,1,1,S005,Clothing,West,60,289,83,229,23,0,Medium,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-02,1,2022,1,1,S005,Groceries,East,437,487,106,50,-331,0,High,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-02,1,2022,1,1,S005,Toys,North,377,418,76,41,-301,0,High,null,null,null,null,null,null,null,null,null,null
P0018,2022-01-02,1,2022,1,1,S005,Clothing,West,83,89,113,6,30,0,Low,null,null,null,null,null,null,null,null,null,null
P0019,2022-01-02,1,2022,1,1,S005,Clothing,West,203,421,152,218,-51,0,High,null,null,null,null,null,null,null,null,null,null
P0020,2022-01-02,1,2022,1,1,S005,Clothing,South,183,211,189,28,6,0,Medium,null,null,null,null,null,null,null,null,null,null
P0001,2022-01-03,1,2022,1,2,S001,Electronics,West,5,154,189,149,184,0,Medium,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-03,1,2022,1,2,S001,Clothing,East,199,282,70,83,-129,0,Medium,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-03,1,2022,1,2,S001,Toys,South,176,183,124,7,-52,0,Medium,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-03,1,2022,1,2,S001,Electronics,East,214,239,51,25,-163,0,Medium,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-03,1,2022,1,2,S001,Groceries,West,165,368,56,203,-109,0,High,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-03,1,2022,1,2,S001,Furniture,South,9,57,40,48,31,0,Low,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-03,1,2022,1,2,S001,Clothing,South,140,460,70,320,-70,0,High,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-03,1,2022,1,2,S001,Groceries,West,177,214,150,37,-27,0,Medium,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-03,1,2022,1,2,S001,Groceries,South,217,407,55,190,-162,0,High,null,null,null,null,null,null,null,null,null,null
